Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
09-04-2016,20,32.2,28.8,85,0.4,1,2,105,,
10-04-2016,22,32.3,27.8,84,0,7.6,2,125,,
11-04-2016,22,33,27,90,0,8.9,4,254,,
12-04-2016,22,32,26.6,93,0,6.3,2,90,,
13-04-2016,22,32.4,27.5,90,0.8,0.8,3,56,,
14-04-2016,23,30.6,26.7,95,5.7,6,2,37,,
15-04-2016,22,32.2,27.7,87,0.2,1.2,3,20,,
16-04-2016,20,35,27.5,86,0,7.4,3,81,,
17-04-2016,23,31.8,26.8,90,0,6.3,2,100,,
18-04-2016,21,31,26,93,17.8,3.8,3,71,,
19-04-2016,21,31,25.4,94,25.5,3.1,2,225,,
20-04-2016,22,30.6,26.1,93,8.5,3,3,90,,
21-04-2016,21,32,27,90,20.5,4.7,2,171,,
22-04-2016,23,30,26.9,94,0,8.1,3,34,,
23-04-2016,23,31.4,26.9,93,8,0.4,2,60,,
24-04-2016,22,31.2,27.1,89,3,5.7,2,60,,
25-04-2016,23,31,27,91,10,2.5,2,110,,
26-04-2016,22,31.7,26.8,89,15.4,2.9,3,42,,
27-04-2016,22,31.4,27.5,89,0.2,6.7,3,100,,
28-04-2016,22,31.2,27.1,91,0,7,3,292,,
29-04-2016,22,31.8,27.7,83,12.5,2.1,3,35,,
30-04-2016,22,31.8,26.9,89,0,10.2,2,145,,
01-05-2016,22,32,27.8,85,0,4.2,5,83,,
02-05-2016,22,31.8,27.4,83,0,9.8,3,90,,
03-05-2016,22,31.9,27.6,86,0,8,3,46,,
04-05-2016,23,32.4,27.4,86,0,8.9,6,56,,
05-05-2016,23,31.4,27.2,90,0.6,8.7,3,339,,
06-05-2016,21,32.2,27.1,84,0.2,3.6,4,50,,
07-05-2016,23,32.4,27.3,90,0,3.8,3,38,,
08-05-2016,22,30.7,26.5,88,0,6,4,20,,
09-05-2016,21,32.6,27.7,84,5.7,3,4,80,,
10-05-2016,23,28.8,26.1,93,0.9,10,3,61,,
11-05-2016,21,32,27.3,83,10,0.4,3,13,,
12-05-2016,21,32.2,26.8,89,0,9.5,4,120,,
13-05-2016,22,31.2,26.3,93,0,7.7,2,265,,
14-05-2016,22,32.8,27.4,81,0,1.7,4,50,,
15-05-2016,22,32.8,27.5,85,0,9,3,180,,
16-05-2016,22,32,27.5,89,2.1,6.7,3,50,,
17-05-2016,22,32,27.5,90,0,7.3,2,50,,
18-05-2016,23,31.2,27.4,93,15.3,5.4,2,63,,
19-05-2016,22,31.6,26.5,92,15.9,2.3,4,28,,
20-05-2016,22,31.4,26.6,91,24.5,5.9,4,43,,
